LON      	LAT     	DEPTH	MAG 	MAGxMAG	EVENTID	AUTHOR   	DATE      	TIME       	DEPFIX	DEPQUAL	AUTHOR   	TYPE  						
-80.017	-8.259	39.4	4.5	20.25	615789125	ISC-EHB  	20/04/1968	07:25.1	      	L1     	ISC      	mb    						
-70.477	-14.377	209.1	4.9	24.01	615789154	ISC-EHB  	26/04/1968	54:48.7	      	L1     	ISC      	mb    						
-77.322	-2.555	119	4.7	22.09	615789168	ISC-EHB  	29/04/1968	26:54.7	      	L1     	ISC      	mb    						
-81.887	-5.374	18.1	5.6	31.36	615789216	ISC-EHB  	9/05/1968	52:23.7	      	L1     	ISC      	mb    						
-69.459	-18.513	120.2	4.9	24.01	615789221	ISC-EHB  	9/05/1968	32:33.9	      	L1     	ISC      	mb    						
-76.59	-3.737	97.6	5.4	29.16	615789265	ISC-EHB  	16/05/1968	25:08.9	      	L1     	ISC      	mb    						
-80.793	-7.24	24.5	5	25	615789370	ISC-EHB  	27/05/1968	25:01.2	      	L1     	ISC      	mb    						
-77.179	-5.561	15.5	6.3	39.69	615789567	ISC-EHB  	19/06/1968	13:34.3	      	L1     	ISC      	mb    	ISC      	MS    	7			
-77.351	-5.635	20	5.1	26.01	615789574	ISC-EHB  	19/06/1968	38:59.4	TRUE  	L3     	ISC      	mb    						
-77.375	-5.646	22.7	5.1	26.01	615789571	ISC-EHB  	19/06/1968	07:44.2	      	L1     	ISC      	mb    						
-77.242	-5.681	22.9	5	25	615789568	ISC-EHB  	19/06/1968	18:46.0	      	L1     	ISC      	mb    						
-77.265	-5.567	23.4	4.8	23.04	615789569	ISC-EHB  	19/06/1968	57:25.3	      	L1     	ISC      	mb    						
-77.306	-5.672	17.8	4.8	23.04	615789582	ISC-EHB  	20/06/1968	51:56.6	      	L2     	ISC      	mb    						
-77.265	-5.658	20	5.2	27.04	615789579	ISC-EHB  	20/06/1968	11:10.7	      	L2     	ISC      	mb    						
-77.258	-5.516	22.9	5.9	34.81	615789576	ISC-EHB  	20/06/1968	38:38.6	      	L1     	ISC      	mb    						
-77.238	-5.641	21.8	5.6	31.36	615789585	ISC-EHB  	21/06/1968	26:09.6	      	L1     	ISC      	mb    						
-77.435	-5.438	25	4.9	24.01	615789588	ISC-EHB  	21/06/1968	31:18.5	TRUE  	L3     	ISC      	mb    						
-77.056	-5.542	23.8	4.7	22.09	615789592	ISC-EHB  	22/06/1968	16:49.6	      	L2     	ISC      	mb    						
-77.268	-5.575	20	5	25	615789613	ISC-EHB  	26/06/1968	34:12.7	TRUE  	L3     	ISC      	mb    						
-77.321	-5.707	22.4	4.8	23.04	615789609	ISC-EHB  	26/06/1968	53:46.5	      	L1     	ISC      	mb    						
-77.204	-5.716	25	5.4	29.16	615789662	ISC-EHB  	7/07/1968	48:09.6	TRUE  	L1     	ISC      	mb    						
